,FIPS 1970,SMSA 1970,STATE 1970,COUNTY 1970,FIPS 1980,SMSA 1980,COUNTY 1980,STATE 1980,MSA NAME 1980,FIPS 1990,MSA 1990,COUNTY 1990,STATE 1990,MSA NAME 1990,FIPS 2000,MSA Code 2000,County 2000,MSA Name 2000,FIPS 2010,CBSA 2010,County 2010,CBSA Name 2010,CBSA State 2010,Metro/Micro 2010,1970 Pop,1980 Pop,1990 Pop,2000 Pop,2010 Pop,1970 Emp,1980 Emp,1990 Emp,2000 Emp,2010 Emp
4,1001,NA,Alabama,Autauga,1001,5240,Autauga,Alabama,MONTGOMERY ALA.,1001,5240,Autauga,Alabama,Montgomery AL MSA,1001,5240,Autauga AL,Montgomery,1001,33860,Autauga AL,Montgomery, AL,Metro,24606,32215,34353,44021,54660,6853,11255,11400,16144,17011
5,1003,5160,Alabama,Baldwin,1003,5160,Baldwin,Alabama,MOBILE ALA.,1003,5160,Baldwin,Alabama,Mobile AL MSA,1003,5160,Baldwin AL,Mobile,1003,19300,Baldwin AL,Daphne-Fairhope-Foley, AL,Metro,59474,78931,98955,141342,183193,19749,27777,40545,69454,89333
6,1005,NA,Alabama,Barbour,1005,NA,Barbour,Alabama,NA,1005,9999,Barbour,Alabama,NA,1005,9999,Barbour AL,,1005, ,Barbour AL, , ,,22655,24763,25505,29015,27341,9448,9724,12099,15148,12618
7,1007,NA,Alabama,Bibb,1007,NA,Bibb,Alabama,NA,1007,9999,Bibb,Alabama,NA,1007,9999,Bibb AL,,1007,13820,Bibb AL,Birmingham-Hoover, AL,Metro,13798,15751,16697,19913,22861,3965,4262,5531,6031,6254
8,1009,NA,Alabama,Blount,1009,NA,Blount,Alabama,NA,1009,1000,Blount,Alabama,Birmingham AL MSA,1009,1000,Blount AL,Birmingham,1009,13820,Blount AL,Birmingham-Hoover, AL,Metro,26999,36508,39473,51107,57373,7587,9467,11751,16265,14493
9,1011,NA,Alabama,Bullock,1011,NA,Bullock,Alabama,NA,1011,9999,Bullock,Alabama,NA,1011,9999,Bullock AL,,1011, ,Bullock AL, , ,,11749,10616,11032,11581,10887,4281,4084,4088,4479,3990
10,1013,NA,Alabama,Butler,1013,NA,Butler,Alabama,NA,1013,9999,Butler,Alabama,NA,1013,9999,Butler AL,,1013, ,Butler AL, , ,,21987,21789,21886,21325,20944,8632,8896,8445,9365,9104
11,1015,NA,Alabama,Calhoun,1015,450,Calhoun,Alabama,ANNISTON ALA.,1015,450,Calhoun,Alabama,Anniston AL MSA,1015,450,Calhoun AL,Anniston,1015,11500,Calhoun AL,Anniston-Oxford-Jacksonville, AL,Metro,103125,120016,116118,111081,118437,46650,57453,61400,60863,60228
12,1017,NA,Alabama,Chambers,1017,NA,Chambers,Alabama,NA,1017,9999,Chambers,Alabama,NA,1017,9999,Chambers AL,,1017,46740,Chambers AL,Valley, AL,Micro,36274,39243,36884,36571,34098,16255,16112,16643,16341,11334
13,1019,NA,Alabama,Cherokee,1019,NA,Cherokee,Alabama,NA,1019,9999,Cherokee,Alabama,NA,1019,9999,Cherokee AL,,1019, ,Cherokee AL, , ,,15771,18876,19643,24006,25976,4496,6058,6788,7812,7677
14,1021,NA,Alabama,Chilton,1021,NA,Chilton,Alabama,NA,1021,9999,Chilton,Alabama,NA,1021,9999,Chilton AL,,1021,13820,Chilton AL,Birmingham-Hoover, AL,Metro,25222,30641,32550,39897,43665,6686,8076,9858,12252,12695
15,1023,NA,Alabama,Choctaw,1023,NA,Choctaw,Alabama,NA,1023,9999,Choctaw,Alabama,NA,1023,9999,Choctaw AL,,1023, ,Choctaw AL, , ,,16577,16812,15994,15875,13841,5564,6523,6916,6242,5166
16,1025,NA,Alabama,Clarke,1025,NA,Clarke,Alabama,NA,1025,9999,Clarke,Alabama,NA,1025,9999,Clarke AL,,1025, ,Clarke AL, , ,,26536,27797,27289,27819,25767,9061,10291,11241,13202,12207
17,1027,NA,Alabama,Clay,1027,NA,Clay,Alabama,NA,1027,9999,Clay,Alabama,NA,1027,9999,Clay AL,,1027, ,Clay AL, , ,,12678,13740,13284,14263,13880,4153,5188,6191,7203,5579
18,1029,NA,Alabama,Cleburne,1029,NA,Cleburne,Alabama,NA,1029,9999,Cleburne,Alabama,NA,1029,9999,Cleburne AL,,1029, ,Cleburne AL, , ,,11008,12640,12724,14172,14973,3383,3802,4004,5061,4210
19,1031,NA,Alabama,Coffee,1031,NA,Coffee,Alabama,NA,1031,9999,Coffee,Alabama,NA,1031,9999,Coffee AL,,1031,21460,Coffee AL,Enterprise, AL,Micro,35107,38779,40293,43580,50177,11946,14831,17578,20540,21180
20,1033,NA,Alabama,Colbert,1033,2650,Colbert,Alabama,FLORENCE ALA.,1033,2650,Colbert,Alabama,Florence AL MSA,1033,2650,Colbert AL,Florence,1033,22520,Colbert AL,Florence-Muscle Shoals, AL,Metro,49663,54580,51876,54997,54514,25050,29745,28438,28683,29264
21,1035,NA,Alabama,Conecuh,1035,NA,Conecuh,Alabama,NA,1035,9999,Conecuh,Alabama,NA,1035,9999,Conecuh AL,,1035, ,Conecuh AL, , ,,15663,15838,14042,14035,13208,5072,5657,5639,5856,4925
22,1037,NA,Alabama,Coosa,1037,NA,Coosa,Alabama,NA,1037,9999,Coosa,Alabama,NA,1037,9999,Coosa AL,,1037,45180,Coosa AL,Talladega-Sylacauga, AL,Micro,10661,11395,11071,11844,11758,2439,2969,3141,2802,2385
23,1039,NA,Alabama,Covington,1039,NA,Covington,Alabama,NA,1039,9999,Covington,Alabama,NA,1039,9999,Covington AL,,1039, ,Covington AL, , ,,34134,36881,36519,37514,37796,15750,17016,17833,18180,17900
24,1041,NA,Alabama,Crenshaw,1041,NA,Crenshaw,Alabama,NA,1041,9999,Crenshaw,Alabama,NA,1041,9999,Crenshaw AL,,1041, ,Crenshaw AL, , ,,13219,14122,13598,13692,13853,4798,5209,5604,5471,5722
25,1043,NA,Alabama,Cullman,1043,NA,Cullman,Alabama,NA,1043,9999,Cullman,Alabama,NA,1043,9999,Cullman AL,,1043,18980,Cullman AL,Cullman, AL,Micro,52770,61744,67825,77473,80473,19607,23482,30325,39032,37660
26,1045,NA,Alabama,Dale,1045,NA,Dale,Alabama,NA,1045,2180,Dale,Alabama,Dothan AL MSA,1045,2180,Dale AL,Dothan,1045,37120,Dale AL,Ozark, AL,Micro,53230,47998,49600,49124,50358,35161,26592,29144,27036,27464
27,1047,NA,Alabama,Dallas,1047,NA,Dallas,Alabama,NA,1047,9999,Dallas,Alabama,NA,1047,9999,Dallas AL,,1047,42820,Dallas AL,Selma, AL,Micro,55309,53956,48015,46198,43803,23917,23519,21495,22389,18493
28,1049,NA,Alabama,DeKalb,1049,NA,DeKalb,Alabama,NA,1049,9999,DeKalb,Alabama,NA,1049,9999,DeKalb AL,,1049, ,DeKalb AL, , ,,42228,53800,54875,64650,71142,14841,20277,27377,35740,31331
29,1051,5240,Alabama,Elmore,1051,5240,Elmore,Alabama,MONTGOMERY ALA.,1051,5240,Elmore,Alabama,Montgomery AL MSA,1051,5240,Elmore AL,Montgomery,1051,33860,Elmore AL,Montgomery, AL,Metro,33680,43474,49484,66160,79465,8106,11592,14440,20533,28291
30,1053,NA,Alabama,Escambia,1053,NA,Escambia,Alabama,NA,1053,9999,Escambia,Alabama,NA,1053,9999,Escambia AL,,1053, ,Escambia AL, , ,,34899,38278,35526,38325,38309,13014,14807,15843,18887,16835
31,1055,2880,Alabama,Etowah,1055,2880,Etowah,Alabama,GADSDEN ALA.,1055,2880,Etowah,Alabama,Gadsden AL MSA,1055,2880,Etowah AL,Gadsden,1055,23460,Etowah AL,Gadsden, AL,Metro,94134,103112,99809,103286,104442,35044,41418,43565,49457,46811
32,1057,NA,Alabama,Fayette,1057,NA,Fayette,Alabama,NA,1057,9999,Fayette,Alabama,NA,1057,9999,Fayette AL,,1057, ,Fayette AL, , ,,16187,18848,18006,18512,17231,5584,7896,7559,7903,5758
33,1059,NA,Alabama,Franklin,1059,NA,Franklin,Alabama,NA,1059,9999,Franklin,Alabama,NA,1059,9999,Franklin AL,,1059, ,Franklin AL, , ,,24026,28328,27802,31242,31734,8141,10418,12201,15613,14376
34,1061,NA,Alabama,Geneva,1061,NA,Geneva,Alabama,NA,1061,9999,Geneva,Alabama,NA,1061,9999,Geneva AL,,1061,20020,Geneva AL,Dothan, AL,Metro,21980,24191,23734,25740,26795,8310,8816,9579,9435,9047
35,1063,NA,Alabama,Greene,1063,NA,Greene,Alabama,NA,1063,9999,Greene,Alabama,NA,1063,9999,Greene AL,,1063, ,Greene AL, , ,,10551,11037,10171,9902,9001,2987,3718,3647,3189,3257
36,1065,NA,Alabama,Hale,1065,NA,Hale,Alabama,NA,1065,9999,Hale,Alabama,NA,1065,9999,Hale AL,,1065,46220,Hale AL,Tuscaloosa, AL,Metro,15817,15602,15533,18194,15735,4874,4350,4986,5749,4914
37,1067,NA,Alabama,Henry,1067,NA,Henry,Alabama,NA,1067,9999,Henry,Alabama,NA,1067,9999,Henry AL,,1067,20020,Henry AL,Dothan, AL,Metro,13292,15334,15426,16341,17292,5613,5721,6603,6756,5659
38,1069,NA,Alabama,Houston,1069,NA,Houston,Alabama,NA,1069,2180,Houston,Alabama,Dothan AL MSA,1069,2180,Houston AL,Dothan,1069,20020,Houston AL,Dothan, AL,Metro,56850,74980,81666,88943,101783,27670,40513,50352,59098,61744
39,1071,NA,Alabama,Jackson,1071,NA,Jackson,Alabama,NA,1071,9999,Jackson,Alabama,NA,1071,9999,Jackson AL,,1071,42460,Jackson AL,Scottsboro, AL,Micro,39428,51420,47948,53979,53179,15434,24545,22054,25033,23472
40,1073,1000,Alabama,Jefferson,1073,1000,Jefferson,Alabama,BIRMINGHAM ALA.,1073,1000,Jefferson,Alabama,Birmingham AL MSA,1073,1000,Jefferson AL,Birmingham,1073,13820,Jefferson AL,Birmingham-Hoover, AL,Metro,645157,670934,652239,662033,658116,302620,362881,412557,475349,439530
41,1075,NA,Alabama,Lamar,1075,NA,Lamar,Alabama,NA,1075,9999,Lamar,Alabama,NA,1075,9999,Lamar AL,,1075, ,Lamar AL, , ,,14376,16453,15702,15923,14495,4664,6583,7861,7192,5223
42,1077,NA,Alabama,Lauderdale,1077,2650,Lauderdale,Alabama,FLORENCE ALA.,1077,2650,Lauderdale,Alabama,Florence AL MSA,1077,2650,Lauderdale AL,Florence,1077,22520,Lauderdale AL,Florence-Muscle Shoals, AL,Metro,68430,80742,79962,88039,92747,20524,29046,36323,43259,43252
43,1079,NA,Alabama,Lawrence,1079,NA,Lawrence,Alabama,NA,1079,2030,Lawrence,Alabama,Decatur AL MSA,1079,2030,Lawrence AL,Decatur,1079,19460,Lawrence AL,Decatur, AL,Metro,27261,30195,31605,34874,34305,7292,8899,11381,12419,10883
44,1081,NA,Alabama,Lee,1081,NA,Lee,Alabama,NA,1081,9999,Lee,Alabama,NA,1081,580,Lee AL,Auburn-Opelika,1081,12220,Lee AL,Auburn-Opelika, AL,Metro,61262,76610,87735,115430,140782,25031,32917,43140,54713,66760
45,1083,3440,Alabama,Limestone,1083,3440,Limestone,Alabama,HUNTSVILLE ALA.,1083,9999,Limestone,Alabama,NA,1083,3440,Limestone AL,Huntsville,1083,26620,Limestone AL,Huntsville, AL,Metro,41683,45988,54357,65966,83163,14060,18271,27052,30963,31424
46,1085,NA,Alabama,Lowndes,1085,NA,Lowndes,Alabama,NA,1085,9999,Lowndes,Alabama,NA,1085,9999,Lowndes AL,,1085,33860,Lowndes AL,Montgomery, AL,Metro,12946,13226,12668,13471,11275,3999,3607,4126,4546,4362
47,1087,NA,Alabama,Macon,1087,NA,Macon,Alabama,NA,1087,9999,Macon,Alabama,NA,1087,9999,Macon AL,,1087, ,Macon AL, , ,,24891,26786,24911,24047,21545,8275,8262,9173,8825,8754
48,1089,3440,Alabama,Madison,1089,3440,Madison,Alabama,HUNTSVILLE ALA.,1089,3440,Madison,Alabama,Huntsville AL MSA,1089,3440,Madison AL,Huntsville,1089,26620,Madison AL,Huntsville, AL,Metro,186631,197632,239996,278006,336138,93073,108333,164409,193495,231517
49,1091,NA,Alabama,Marengo,1091,NA,Marengo,Alabama,NA,1091,9999,Marengo,Alabama,NA,1091,9999,Marengo AL,,1091, ,Marengo AL, , ,,23675,24985,23003,22564,20942,8605,8821,9485,10810,9940
50,1093,NA,Alabama,Marion,1093,NA,Marion,Alabama,NA,1093,9999,Marion,Alabama,NA,1093,9999,Marion AL,,1093, ,Marion AL, , ,,24030,30112,29846,31137,30800,10450,13108,13525,15922,12916
51,1095,NA,Alabama,Marshall,1095,3440,Marshall,Alabama,HUNTSVILLE ALA.,1095,9999,Marshall,Alabama,NA,1095,9999,Marshall AL,,1095,10700,Marshall AL,Albertville, AL,Micro,54422,65802,71054,82429,93146,20423,29151,40301,44582,47700
52,1097,5160,Alabama,Mobile,1097,5160,Mobile,Alabama,MOBILE ALA.,1097,5160,Mobile,Alabama,Mobile AL MSA,1097,5160,Mobile AL,Mobile,1097,33660,Mobile AL,Mobile, AL,Metro,318311,366205,379167,400073,413332,121223,167983,181716,217160,227094
53,1099,NA,Alabama,Monroe,1099,NA,Monroe,Alabama,NA,1099,9999,Monroe,Alabama,NA,1099,9999,Monroe AL,,1099, ,Monroe AL, , ,,20949,22660,24141,24319,22982,8111,9858,12777,12259,9538
55,1101,5240,Alabama,Montgomery,1101,5240,Montgomery,Alabama,MONTGOMERY ALA.,1101,5240,Montgomery,Alabama,Montgomery AL MSA,1101,5240,Montgomery AL,Montgomery,1101,33860,Montgomery AL,Montgomery, AL,Metro,168007,197616,209537,223428,229723,90762,115722,140934,165697,171126
56,1103,NA,Alabama,Morgan,1103,NA,Morgan,Alabama,NA,1103,2030,Morgan,Alabama,Decatur AL MSA,1103,2030,Morgan AL,Decatur,1103,19460,Morgan AL,Decatur, AL,Metro,77757,90240,100513,111221,119603,34152,42606,53830,63387,60867
57,1105,NA,Alabama,Perry,1105,NA,Perry,Alabama,NA,1105,9999,Perry,Alabama,NA,1105,9999,Perry AL,,1105, ,Perry AL, , ,,15317,14990,12691,11809,10540,5196,4524,4408,4108,3918
58,1107,NA,Alabama,Pickens,1107,NA,Pickens,Alabama,NA,1107,9999,Pickens,Alabama,NA,1107,9999,Pickens AL,,1107,46220,Pickens AL,Tuscaloosa, AL,Metro,20303,21549,20683,20881,19716,6687,7095,6514,6471,5855
59,1109,NA,Alabama,Pike,1109,NA,Pike,Alabama,NA,1109,9999,Pike,Alabama,NA,1109,9999,Pike AL,,1109,45980,Pike AL,Troy, AL,Micro,25049,28151,27662,29748,32957,10936,12737,14013,15618,18782
60,1111,NA,Alabama,Randolph,1111,NA,Randolph,Alabama,NA,1111,9999,Randolph,Alabama,NA,1111,9999,Randolph AL,,1111, ,Randolph AL, , ,,18349,20106,19991,22377,22891,6493,7278,7901,8218,7626
61,1113,1800,Alabama,Russell,1113,1800,Russell,Alabama,COLUMBUS GA.-ALA.,1113,1800,Russell,Alabama,Columbus GA--AL MSA,1113,1800,Russell AL,Columbus,1113,17980,Russell AL,Columbus, GA-AL,Metro,45376,47272,46958,49805,53297,11651,14024,16167,17349,19005
62,1115,NA,Alabama,St Clair,1115,1000,St Clair,Alabama,BIRMINGHAM ALA.,1115,1000,St Clair,Alabama,Birmingham AL MSA,1115,1000,St. Clair AL,Birmingham,1115,13820,St. Clair AL,Birmingham-Hoover, AL,Metro,28200,41325,50084,65080,83812,6124,9964,14545,20031,24848
63,1117,1000,Alabama,Shelby,1117,1000,Shelby,Alabama,BIRMINGHAM ALA.,1117,1000,Shelby,Alabama,Birmingham AL MSA,1117,1000,Shelby AL,Birmingham,1117,13820,Shelby AL,Birmingham-Hoover, AL,Metro,38276,66917,100024,144674,196048,12207,21651,37846,60833,103597
64,1119,NA,Alabama,Sumter,1119,NA,Sumter,Alabama,NA,1119,9999,Sumter,Alabama,NA,1119,9999,Sumter AL,,1119, ,Sumter AL, , ,,16725,16944,16153,14746,13740,5349,6435,6656,5898,5376
65,1121,NA,Alabama,Talladega,1121,NA,Talladega,Alabama,NA,1121,9999,Talladega,Alabama,NA,1121,9999,Talladega AL,,1121,45180,Talladega AL,Talladega-Sylacauga, AL,Micro,65029,73955,74182,80772,82071,24998,27951,29498,32871,33237
66,1123,NA,Alabama,Tallapoosa,1123,NA,Tallapoosa,Alabama,NA,1123,9999,Tallapoosa,Alabama,NA,1123,9999,Tallapoosa AL,,1123, ,Tallapoosa AL, , ,,33723,38774,38927,41689,41502,17102,19834,20624,20372,17186
67,1125,8600,Alabama,Tuscaloosa,1125,8600,Tuscaloosa,Alabama,TUSCALOOSA ALA.,1125,8600,Tuscaloosa,Alabama,Tuscaloosa AL MSA,1125,8600,Tuscaloosa AL,Tuscaloosa,1125,46220,Tuscaloosa AL,Tuscaloosa, AL,Metro,116422,137831,151095,165414,194977,46034,57764,76332,94259,107877
68,1127,1000,Alabama,Walker,1127,1000,Walker,Alabama,BIRMINGHAM ALA.,1127,1000,Walker,Alabama,Birmingham AL MSA,1127,9999,Walker AL,,1127,13820,Walker AL,Birmingham-Hoover, AL,Metro,56628,68604,67642,70602,67004,17006,22070,25991,28118,24854
69,1129,NA,Alabama,Washington,1129,NA,Washington,Alabama,NA,1129,9999,Washington,Alabama,NA,1129,9999,Washington AL,,1129, ,Washington AL, , ,,16278,16979,16702,18101,17610,5422,6535,7146,6682,5920
70,1131,NA,Alabama,Wilcox,1131,NA,Wilcox,Alabama,NA,1131,9999,Wilcox,Alabama,NA,1131,9999,Wilcox AL,,1131, ,Wilcox AL, , ,,16288,14784,13506,12939,11557,5640,5331,5396,4764,4407
71,1133,NA,Alabama,Winston,1133,NA,Winston,Alabama,NA,1133,9999,Winston,Alabama,NA,1133,9999,Winston AL,,1133, ,Winston AL, , ,,16808,21966,22113,24857,24401,8698,10566,11935,13466,10401
692,2010,NA,Alaska,Aleutian Islands,2010,NA,Aleutian Islands,Alaska,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,2010,,Aleutian Islands Census Area AK*,,,,(NA),7813,(NA),(NA),(NA),(NA),6559,(NA),(NA),(NA)
708,2013,NA,NA,NA,2013,NA,NA,NA,NA,2013,9999,Aleutians East,Alaska,NA,2013,9999,Aleutians East Borough AK,,2013, ,Aleutians East Borough AK*, , ,,(NA),(NA),2477,2693,3169,(NA),(NA),1653,2009,2205
724,2016,NA,NA,NA,2016,NA,NA,NA,NA,2016,9999,Aleutians West,Alaska,NA,2016,9999,Aleutians West Census Area AK,,2016, ,Aleutians West Census Area AK*, , ,,(NA),(NA),9599,5470,5546,(NA),(NA),7514,4476,4070
745,2020,NA,Alaska,Anchorage,2020,380,Anchorage,Alaska,ANCHORAGE ALASKA,2020,380,Anchorage,Alaska,Anchorage AK MSA,2020,380,Anchorage Borough AK,Anchorage,2020,11260,Anchorage Municipality AK,Anchorage, AK,Metro,127569,175808,227614,260816,293405,68019,114026,154402,177117,201990
753,2050,NA,Alaska,Bethel,2050,NA,Bethel,Alaska,NA,2050,9999,Bethel,Alaska,NA,2050,9999,Bethel Census Area AK,,2050, ,Bethel Census Area AK*, , ,,(NA),11052,13717,16080,17080,(NA),3734,5926,7878,8385
754,2060,NA,Alaska,Bristol Bay Borough,2060,NA,Bristol Bay,Alaska,NA,2060,9999,Bristol Bay,Alaska,NA,2060,9999,Bristol Bay Borough AK,,2060, ,Bristol Bay Borough AK, , ,,1156,1114,1388,1232,1002,1185,1504,1817,1566,1723
756,2068,NA,NA,NA,2068,NA,NA,NA,NA,2068,NA,NA,NA,NA,2068,9999,Denali Borough AK,,2068, ,Denali Borough AK*, , ,,(NA),(NA),(NA),1890,1837,(NA),(NA),(NA),2084,2188
757,2070,NA,NA,NA,2070,NA,Dillingham,Alaska,NA,2070,9999,Dillingham,Alaska,NA,2070,9999,Dillingham Census Area AK,,2070, ,Dillingham Census Area AK*, , ,,(NA),4584,5705,4916,4856,(NA),2390,3769,4071,3606
759,2090,NA,Alaska,Fairbanks North Star,2090,NA,Fairbanks North Star,Alaska,NA,2090,9999,Fairbanks North Star,Alaska,NA,2090,9999,Fairbanks North Star Borough AK,,2090,21820,Fairbanks North Star Borough AK,Fairbanks, AK,Metro,45940,54520,78067,83005,98289,23571,31780,43739,50450,57347
760,2100,NA,Alaska,Haines,2100,NA,Haines,Alaska,NA,2100,9999,Haines,Alaska,NA,2100,9999,Haines Borough AK,,2100, ,Haines Borough AK, , ,,(NA),1701,2117,2399,2501,(NA),808,1652,2432,1678
786,2105,NA,NA,NA,2105,NA,NA,NA,NA,2105,NA,NA,NA,NA,NA,NA,NA,NA,2105, ,Hoonah-Angoon Census Area AK*, , ,,(NA),(NA),(NA),(NA),2148,(NA),(NA),(NA),(NA),1193
812,2110,NA,Alaska,Juneau,2110,NA,Juneau,Alaska,NA,2110,9999,Juneau,Alaska,NA,2110,9999,Juneau Borough AK,,2110,27940,Juneau City and Borough AK,Juneau, AK,Micro,13710,19727,27046,30668,31388,7497,13989,17922,21384,23284
874,2122,NA,NA,NA,2122,NA,Kenai Peninsula,Alaska,NA,2122,9999,Kenai Peninsula,Alaska,NA,2122,9999,Kenai Peninsula Borough AK,,2122, ,Kenai Peninsula Borough AK, , ,,(NA),25653,41125,49618,55573,(NA),13102,22312,27749,30416
885,2130,NA,Alaska,Ketchikan Gateway,2130,NA,Ketchikan Gateway,Alaska,NA,2130,9999,Ketchikan Gateway,Alaska,NA,2130,9999,Ketchikan Gateway Borough AK,,2130,28540,Ketchikan Gateway Borough AK*,Ketchikan, AK,Micro,10102,11482,13956,13993,13525,5155,7346,10702,10048,10041
887,2150,NA,Alaska,Kodiak Island,2150,NA,Kodiak Island,Alaska,NA,2150,9999,Kodiak Island,Alaska,NA,2150,9999,Kodiak Island Borough AK,,2150, ,Kodiak Island Borough AK, , ,,9396,10004,13381,13983,13651,5620,8383,9452,9342,9529
888,2158,NA,NA,NA,2158,NA,NA,NA,NA,2158,NA,NA,NA,NA,NA,NA,NA,NA,2158,,Kusilvak Census Area AK*,,,,3910,4646,5816,7033,7464,1012,1320,1964,2721,2936
890,2164,NA,NA,NA,2164,NA,NA,NA,NA,2164,9999,Lake And Peninsula,Alaska,NA,2164,9999,Lake and Peninsula Borough AK,,2164, ,Lake and Peninsula Borough AK*, , ,,(NA),(NA),(NA),1814,1637,(NA),(NA),(NA),1134,1137
891,2170,NA,Alaska,Matanuska-Susitna,2170,NA,Matanuska-Susitna,Alaska,NA,2170,9999,Matanuska-Susitna,Alaska,NA,2170,9999,Matanuska-Susitna Borough AK,,2170,11260,Matanuska-Susitna Borough AK,Anchorage, AK,Metro,6661,18031,40148,59802,89761,2310,5709,12566,20764,32157
892,2180,NA,Alaska,Nome,2180,NA,Nome,Alaska,NA,2180,9999,Nome,Alaska,NA,2180,9999,Nome Census Area AK,,2180, ,Nome Census Area AK*, , ,,5753,6570,8315,9152,9536,1392,2501,3552,4192,4805
893,2185,NA,NA,NA,2185,NA,North Slope,Alaska,NA,2185,9999,North Slope,Alaska,NA,2185,9999,North Slope Borough AK,,2185, ,North Slope Borough AK, , ,,(NA),4239,6048,7420,9468,(NA),6377,8056,8671,14052
894,2188,NA,NA,NA,2188,NA,NA,NA,NA,2188,9999,Northwest Arctic,Alaska,NA,2188,9999,Northwest Arctic Borough AK,,2188, ,Northwest Arctic Borough AK, , ,,4054,4809,6147,7226,7545,1032,1606,2563,3223,3312
896,2195,NA,NA,NA,2195,NA,NA,NA,NA,2195,NA,NA,NA,NA,NA,NA,NA,NA,2195, ,Petersburg Borough AK*, , ,,(NA),(NA),(NA),(NA),3829,(NA),(NA),(NA),(NA),2803
897,2198,NA,NA,NA,2198,NA,NA,NA,NA,2198,NA,NA,NA,NA,NA,NA,NA,NA,2198, ,Prince of Wales-Hyder Census Area AK*, , ,,(NA),(NA),(NA),(NA),5599,(NA),(NA),(NA),(NA),2812
904,2201,NA,NA,NA,2201,NA,Prince Of Wales-Outer Ketchikan,Alaska,NA,2201,9999,Prince Of Wales-Outer Ketchikan,Alaska,NA,2201,9999,Prince of Wales-Outer Ketchikan Census AK,,2201,,Prince of Wales-Outer Ketchikan Census Area AK*,,,,(NA),3915,6280,6129,(NA),(NA),1516,2787,2819,(NA)
965,2220,NA,Alaska,Sitka,2220,NA,Sitka,Alaska,NA,2220,9999,Sitka,Alaska,NA,2220,9999,Sitka Borough AK,,2220, ,Sitka City and Borough AK, , ,,(NA),7840,8653,8845,8898,(NA),4770,6170,6055,6390
966,2230,NA,Alaska,Skagway-Yakutat,2230,NA,NA,NA,NA,2230,NA,NA,NA,NA,NA,NA,NA,NA,2230, ,Skagway Municipality AK*, , ,,(NA),(NA),(NA),(NA),965,(NA),(NA),(NA),(NA),947
967,2231,NA,NA,NA,2231,NA,Skagway-Yakutat-Angoon,Alaska,NA,2231,9999,Skagway-Yakutat-Angoon,Alaska,NA,NA,NA,NA,NA,2231,,Skagway-Yakutat-Angoon Census Area AK*,,,,(NA),3468,4418,(NA),(NA),(NA),1531,2949,(NA),(NA)
968,2232,NA,NA,NA,2232,NA,NA,NA,NA,2232,NA,NA,NA,NA,2232,9999,Skagway-Hoonah-Angoon Census Area AK (D),,2232,,Skagway-Hoonah-Angoon Census Area AK*,,,,(NA),(NA),(NA),3430,(NA),(NA),(NA),(NA),2484,(NA)
969,2240,NA,Alaska,Southeast-Fairbanks,2240,NA,Southeast Fairbanks,Alaska,NA,2240,9999,Southeast Fairbanks,Alaska,NA,2240,9999,Southeast Fairbanks Census Area AK,,2240, ,Southeast Fairbanks Census Area AK*, , ,,(NA),5749,5765,6177,7070,(NA),2303,2681,2592,3743
972,2261,NA,NA,NA,2261,NA,Valdez-Cordova,Alaska,NA,2261,9999,Valdez-Cordova,Alaska,NA,2261,9999,Valdez-Cordova Census Area AK,,2261, ,Valdez-Cordova Census Area AK*, , ,,(NA),8470,10024,10210,9659,(NA),4760,6641,6837,6945
974,2275,NA,NA,NA,2275,NA,NA,NA,NA,2275,NA,NA,NA,NA,NA,NA,NA,NA,2275, ,Wrangell City and Borough AK*, , ,,(NA),(NA),(NA),(NA),2370,(NA),(NA),(NA),(NA),1313
975,2280,NA,Alaska,Wrangell-Petersburg,2280,NA,Wrangell-Petersburg,Alaska,NA,2280,9999,Wrangell-Petersburg,Alaska,NA,2280,9999,Wrangell-Petersburg Census Area AK,,2280,,Wrangell-Petersburg Census Area AK*,,,,(NA),6252,7036,6677,(NA),(NA),4146,4315,4447,(NA)
976,2282,NA,NA,NA,2282,NA,NA,NA,NA,2282,NA,NA,NA,NA,2282,9999,Yakutat Borough,,2282, ,Yakutat City and Borough AK*, , ,,(NA),(NA),(NA),796,662,(NA),(NA),(NA),549,488
977,2290,NA,Alaska,Yukon-Koyukuk,2290,NA,Yukon-Koyukuk,Alaska,NA,2290,9999,Yukon-Koyukuk,Alaska,NA,2290,9999,Yukon-Koyukuk Census Area AK,,2290, ,Yukon-Koyukuk Census Area AK*, , ,,(NA),7868,8448,6489,5588,(NA),3546,3820,2644,2714
1303,2901,NA,NA,NA,2901,NA,NA,NA,NA,2901,NA,NA,NA,NA,NA,NA,NA,NA,2901,,Aleutian Islands Division AK*,,,,8127,(NA),(NA),(NA),(NA),5940,(NA),(NA),(NA),(NA)
1314,2903,NA,NA,NA,2903,NA,NA,NA,NA,2903,NA,NA,NA,NA,NA,NA,NA,NA,2903,,Angoon Division AK*,,,,502,(NA),(NA),(NA),(NA),441,(NA),(NA),(NA),(NA)
1320,2904,NA,NA,NA,2904,NA,NA,NA,NA,2904,NA,NA,NA,NA,NA,NA,NA,NA,2904,,Barrow-North Slope Division AK*,,,,3456,(NA),(NA),(NA),(NA),1879,(NA),(NA),(NA),(NA)
